au_cricos,name,latitude,longitude,short_name,website,country,note
10000055,Abingdon And Witney College,51.786705,-1.487938,ABINGDON-WITNEY,http://www.abingdon-witney.ac.uk,UK,"Campuses: Abingdon &amp; Witney College (Abingdon Campus, Common Leys Campus, Witney Campus)"
10000093,Accrington And Rossendale College,53.748698,-2.355392,,http://www.accross.ac.uk,UK,
10000163,AECC University College,50.72718,-1.828588,AECC,http://www.aecc.ac.uk,UK,
10000216,All Nations Christian College,51.80252,0.000933,ALLNATIONS,http://www.allnations.ac.uk,UK,
10000248,Academy of Live and Recorded Arts,51.4533,-0.174572,,http://www.alra.co.uk,UK,"Campuses: ALRA South, ALRA North"
10000291,Anglia Ruskin University,52.65988,0.168991,ANGLIA,http://www.anglia.ac.uk,UK,"Campuses: College of West Anglia, Urdang Academy, University Centre, Peterborough, London School of Osteopathy, ARU London Campus, Renew Counselling, ARU Cambridge Campus, ARU Chelmsford Campus, ARU Peterborough Campus"
10000381,Arts Educational Schools,51.49596,-0.252435,,https://artsed.co.uk/,UK,
10000385,The Arts University Bournemouth,50.741004,-1.898232,AUB,http://www.aub.ac.uk,UK,
10000415,Askham Bryan College,53.920958,-1.162255,ASKHAM-BRYAN,http://www.askham-bryan.ac.uk,UK,
10000473,Buckinghamshire College Group,51.66828,-0.590353,AYLESBURY,http://www.aylesbury.ac.uk,UK,"Campuses: Amersham, University Campus Aylesbury Vale"
10000528,Barking And Dagenham College,51.560313,0.174477,BARKINGDAGENHAMCOLLEGE,http://www.barkingdagenhamcollege.ac.uk,UK,
10000533,Barnet & Southgate College,51.652414,-0.200804,BARNETSOUTHGATE,http://www.barnetsouthgate.ac.uk,UK,"Campuses: Wood Street, Southgate Campus"
10000536,Barnsley College,53.52875,-1.480238,BARNSLEY,http://www.barnsley.ac.uk,UK,"Campuses: Wigfield Farm, University Campus Barnsley"
10000571,Bath Spa University,51.393703,-2.371243,BATHSPA,http://www.bathspa.ac.uk,UK,"Campuses: Sion Hill Campus, Newton Park Campus, 4 The Circus, Circomedia"
10000610,Bedford College,52.388412,-0.711739,BEDFORD,http://www.bedford.ac.uk,UK,"Campuses: Tresham Kettering, Stella Mann Campus, Shuttleworth College, Cauldwell Street"
10000654,BCA,51.529453,-0.799673,BCA,http://www.bca.ac.uk,UK,
10000670,Bexhill College,50.848384,0.491548,BEXHILLCOLLEGE,http://www.bexhillcollege.ac.uk,UK,
10000712,University College Birmingham,52.481401,-1.906815,UCB,http://www.ucb.ac.uk,UK,
10000720,Bishop Auckland College,54.650997,-1.69392,BACOLL,http://www.bacoll.ac.uk,UK,
10000721,Bishop Burton College,53.268437,-0.529812,BISHOPBURTON,http://www.bishopburton.ac.uk,UK,"Campuses: Riseholme, Bishop Burton"
10000747,Blackburn College,53.748073,-2.489466,BLACKBURN,http://www.blackburn.ac.uk,UK,
10000754,Blackpool And The Fylde College,53.902547,-3.040053,BLACKPOOL,http://www.blackpool.ac.uk,UK,"Campuses: Fleetwood Nautical Campus, Bispham Campus, Uni Centre"
10000794,Bolton College,53.574406,-2.436819,BOLTONCOLLEGE,http://www.boltoncollege.ac.uk,UK,
10000812,Boston College,52.787553,-0.151314,BOSTON,http://www.boston.ac.uk,UK,"Campuses: Red Lion Quarter, Peter Paine Performance Centre, Boston College University Centre"
10000820,The Bournemouth and Poole College,50.724488,-1.961854,,http://www.thecollege.co.uk,UK,"Campuses: North Road Campus, Lansdowne Campus"
10000824,Bournemouth University,50.945326,-2.649764,BOURNEMOUTH,http://www.bournemouth.ac.uk,UK,"Campuses: Yeovil Campus, St Mary's Community Health Campus, Portsmouth, Bournemouth University"
10000833,Bracknell And Wokingham College,51.416111,0.744466,BRACKNELL,http://www.bracknell.ac.uk,UK,
10000840,Bradford College,53.791419,-1.761892,BRADFORDCOLLEGE,http://www.bradfordcollege.ac.uk,UK,
10000878,Bridgwater And Taunton College,51.016143,-3.118809,BRIDGWATER,http://www.bridgwater.ac.uk,UK,"Campuses: Taunton Centre, Cannington Centre, Bridgwater Centre"
10000886,University Of Brighton,50.845462,-0.11826,BRIGHTON,http://www.brighton.ac.uk,UK,"Campuses: Moulsecoomb, Grand Parade, Falmer, Eastbourne"
10000894,Bristol Baptist College,51.460494,-2.625879,BRISTOL-BAPTIST,http://www.bristol-baptist.ac.uk,UK,
10000936,University College Of Osteopathy (The),51.50008,-0.094339,UCO,http://www.uco.ac.uk,UK,
10000944,Brockenhurst College,50.821804,-1.569689,BROCK,http://www.brock.ac.uk,UK,
10000948,London South East Colleges,51.375941,0.101985,BROMLEY,http://www.bromley.ac.uk,UK,"Campuses: Orpington Campus, Holly Hill Campus, Greenwich Campus, Erith Campus, Bromley Campus"
10000950,Brooklands College,51.363638,-0.459806,BROOKLANDS,http://www.brooklands.ac.uk,UK,"Campuses: Weybridge Campus, Ashford Campus"
10000952,Bmc (Brooksby Melton College),52.766417,-0.891698,BROOKSBYMELTON,http://www.brooksbymelton.ac.uk,UK,"Campuses: Melton Campus, Brooksby Campus"
10000961,Brunel University London,51.53311,-0.474027,BRUNEL,http://www.brunel.ac.uk,UK,
10000975,Buckinghamshire New University,51.556701,-0.279665,BUCKS,http://www.bucks.ac.uk,UK,"Campuses: UCFB, Wembley Campus, UCFB, Etihad Campus, Global Banking School, Olympic Park Campus, Uxbridge Campus, High Wycombe Campus, Langley Campus, East Berkshire College, University Campus Aylesbury Vale"
10001000,Burnley College,53.794,-2.807,BURNLEY,http://www.burnley.ac.uk,UK,
10001004,Burton And South Derbyshire College,52.799747,-1.631143,BURTON-COLLEGE,http://www.burton-college.ac.uk,UK,
